URL Reel	Gancho (primera frase) – la primera línea del video	Nicho	Cantidad de visualizaciones	Nombre de la cuenta	Fecha 	sector
https://www.instagram.com/p/DF5V9kMRd7j/	CIRCUITO ASESINO DE ABDOMINALES 3 RONDAS – PRUÉBALO BAJO TU PROPIO RIESGO	Fitness	2 millones	activefitnessig	10 de febrero	Fitness
https://www.instagram.com/reel/DETTWcAS0Pe/?utm_source=ig_web_copy_link	Todo lo que necesitas saber en 5 segundos	Fitness	2,2 millones	notnataliesmith	2 de enero	Fitness
https://www.instagram.com/reel/DIzuj4AuOLc/?utm_source=ig_web_copy_link	La primera casa que deberías renovar es tu cuerpo	Fitness	2,7 millones	brian_pruett	24 de abril	Fitness
https://www.instagram.com/reel/DFa_gyvzVVD/?utm_source=ig_web_copy_link	Tu comodidad está matando tu éxito	Fitness	5,1 millones	hyper.charged_	30 de enero	Fitness
https://www.instagram.com/reel/DFL1i6Mxhib/?utm_source=ig_web_copy_link	LA VIDA EN LOS PRÓXIMOS MESES	Fitness	2,4 millones	akrams_mindset	2 de febrero de 2025	Fitness
https://www.instagram.com/reel/DLn6KqCPBk7/?utm_source=ig_web_copy_link	Abdominales + entrenamiento de core	Fitness	25,1 millones	akrams_mindset	3 de julio	Fitness
https://www.instagram.com/reel/DF5HGBPyUDb/?utm_source=ig_web_copy_link	Bro, ¿cuál es el secreto para ganar músculo?	Fitness	8,5 millones	ketanfitness22	10 de febrero de 2025	Fitness
https://www.instagram.com/reel/DKj42-kSoJe/?utm_source=ig_web_copy_link	ENFOCADO en el CRECIMIENTO	Fitness	3,2 millones	fitbitsby_aj	7 de junio	Fitness
https://www.instagram.com/reel/DDgNyG3Stqa/?utm_source=ig_web_copy_link	Mantenlo simple. Piensa a largo plazo. Haz lo que puedas. Hazlo de forma consistente	Fitness	1,7 millones	raj.ganpath	13 de diciembre de 2024	Fitness
https://www.instagram.com/reel/DM-xI9Du12F/?utm_source=ig_web_copy_link	si puedes hacer 10 cortes con mancuernas	Fitness	1,7 millones	seouldinero	5 de agosto de 2025	Fitness
https://www.instagram.com/reel/DIv6PflyLn7/?utm_source=ig_web_copy_link	Puedo hacer cualquier cosa por esa mujer	Fitness	1,7 millones	sarbdeepsxngh	22 de abril de 2025	Fitness
https://www.instagram.com/reel/DJ3pyRiSFaW/?utm_source=ig_web_copy_link	Lo que me tomó 12 años en el deporte profesional y una maestría, te lo enseño en 6 segundos	Fitness	12,2 millones	risytraining	20 de mayo de 2025	Fitness
https://www.instagram.com/reel/DLJ9bxJTdvL/?utm_source=ig_web_copy_link	Chequeo del nivel de confianza con tu mejor amigo	Fitness	39,2 millones	dr.destruction_	21 de junio de 2025	Fitness
https://www.instagram.com/reel/C_1LIaJSpKq/?utm_source=ig_web_copy_link	Cuando no te das cuenta de que estás en el resorte equivocado	Fitness	17,24 millones	motivatestudios	13 de septiembre de 2024	Fitness
https://www.instagram.com/reel/DKe3KHPMaw4/?utm_source=ig_web_copy_link	A la chica que me enseñó este combo con mancuernas: mi grasa de brazos está bajando, mi core está más fuerte y mi espalda tonificada. ¡Estoy enamorada de tus entrenamientos, gracias!	Fitness	15,8 millones	maggiefromladder_	4 de junio	Fitness
https://www.instagram.com/reel/DG3FDhPtdJW/?utm_source=ig_web_copy_link	Dios dijo: “Voy a hacerte sentar. Romper tu corazón. Cambiar tu enfoque. Aislarte un momento. Guiarte en un ciclo de sanación. Reconstruirte desde el caos, el dolor y el sufrimiento. Ahora es momento de sentarte y verte florecer y evolucionar”.	Fitness	1,1 millones	anyakathryn_	6 de marzo	Fitness
https://www.instagram.com/reel/DL1ASqEvCJB/?utm_source=ig_web_copy_link	Yo diciéndoles por la vez #110 que si quieres una cintura marcada, esculpir tus brazos y crecer tus glúteos, no puedes dejar de hacer combos	Fitness	3,6 millones	dr.robinb	8 de julio	Fitness
https://www.instagram.com/reel/DJ9rJT-pmHU/?utm_source=ig_web_copy_link	¿QUÉ TAN ALTAS SON LAS LEYENDAS DEL FITNESS?	Fitness	2,4 millones	brianwallack	22 de mayo	Fitness
https://www.instagram.com/reel/DKH-PV5Ao0m/?utm_source=ig_web_copy_link	¿Por qué nadie me dijo que esto era tan adictivo?	Fitness	2,6 millones	mandi.bagley	26 de mayo	Fitness
https://www.instagram.com/reel/DHL24wOMofu/?utm_source=ig_web_copy_link	Ven al gym conmigo	Fitness	11,1 millones	tivneet_kaur	14 de marzo	Fitness
https://www.instagram.com/reel/DLahwVJyQg6/?utm_source=ig_web_copy_link	Por qué nunca vi resultados	Fitness	1,9 millones	madelainerascan	27 de junio	Fitness
https://www.instagram.com/reel/DLKwQaxTq14/?utm_source=ig_web_copy_link	Si puedes hacer 100 palmadas de cadera en ayunas cada mañana,	Fitness	6,6 millones	taichi.changxiao	21 de junio	Fitness
https://www.instagram.com/reel/DLJakcWo8FH/?utm_source=ig_web_copy_link	Lo que la gente piensa que quema grasa:	Fitness	54,5 millones	kailiefitness	21 de junio de 2025	Fitness
https://www.instagram.com/reel/DMxliTwoPqK/?utm_source=ig_web_copy_link	POV: los nacidos en 2004 son charlatanes profesionales	Fitness	1,3 millones	hemakshijodha03	31 de julio de 2025	Fitness
https://www.instagram.com/reel/DMvld-dI64e/?utm_source=ig_web_copy_link	La verdad sobre las mujeres en déficit calórico	Fitness	25,7 millones	lilylifts	31 de julio de 2025	Fitness
https://www.instagram.com/reel/DEFptK3xMT9/?utm_source=ig_web_copy_link	¡Viernes de cuerpo completo!	Fitness	3,8 millones	savannahpesante	27 de diciembre	Fitness
https://www.instagram.com/reel/DLFY5vNNb0F/?utm_source=ig_web_copy_link	DÍA 1 DE CONVERTIRME EN GYMBRO	Fitness	9,8 millones	louiskhz	19 de junio	Fitness
https://www.instagram.com/reel/DLQramDxB3O/?utm_source=ig_web_copy_link	Lo que la gente piensa que quema grasa:	Fitness	3,7 millones	kailiefitness	24 de junio de 2025	Fitness
https://www.instagram.com/reel/DLQUhx5P73o/?utm_source=ig_web_copy_link	PERDER GRASA ABDOMINAL NO TOMA AÑOS	Fitness	7 millones	chik.egbuna	24 de junio de 2025	Fitness
https://www.instagram.com/reel/DKDxRgTpK3T/?utm_source=ig_web_copy_link	“Qué suerte tienes de haber bajado de peso”	Fitness	5,1 millones	transformwitheli	25 de mayo	Fitness
https://www.instagram.com/reel/DLs4xMTOykT/?utm_source=ig_web_copy_link	Como mi último acto de amor, te dejaré en paz para siempre y haré todo lo que dije que iba a hacer	Fitness	1,8 millones	fitnesswithxiomara	6 de julio de 2025	Fitness
https://www.instagram.com/reel/DHPWSIkpzNC/?utm_source=ig_web_copy_link	El ejercicio de core más subestimado que deberías hacer en vez de crunches sin fin...	Fitness	1,5 millones	vital.hour	16 de marzo	Fitness
https://www.instagram.com/reel/DKGaj1uNpYG/?utm_source=ig_web_copy_link	Cuerpo ocupado, mente tranquila	Fitness	1,6 millones	racheleobuck	26 de mayo	Fitness
https://www.instagram.com/reel/DKjgm_QimdB/?utm_source=ig_web_copy_link	Nadie te advierte de esto cuando empiezas a crear contenido...	Fitness	1,5 millones	marcus.wlnr	6 de junio de 2025	Fitness
https://www.instagram.com/reel/DIunT6JOXnL/?utm_source=ig_web_copy_link	7 AÑOS DE LEVANTAR PESAS en menos de 30 seg	Fitness	3,5 millones	krismarietv	22 de abril de 2025	Fitness
https://www.instagram.com/reel/DC4n3DBouVg/?utm_source=ig_web_copy_link	Reto de torre con mancuernas	Fitness	4,9 millones	sydgrows	27 de noviembre de 2024	Fitness
https://www.instagram.com/reel/DLq0-R3Oji9/?utm_source=ig_web_copy_link	9 días en mi reto de caminata en inclinación	Fitness	2,3 millones	eliannyisflourishing	4 de julio	Fitness
